match_id,action_id,n_lane_blockers,max_def_cheap,max_def_exact,exact_score_of_cheap_pid,pid_cheap,pid_exact
10502,0,9,0.06173006635022032,1.2925862882669108,0.0,107.0,1973.0
10502,1,9,0.014301446428189988,0.6037704508545829,0.02073916656785757,1336.0,1973.0
10502,2,9,0.05198172178373048,0.5700304341144045,0.004375693771919487,802.0,1971.0
10502,3,9,0.07682375318340438,0.729521220713456,0.022251085308080842,802.0,1973.0
10502,4,8,0.03852638443525416,0.7162782619257442,0.0001848213719668479,1522.0,8134.0
10502,5,7,0.13779105013250167,0.8268785456619625,0.00016825492264160857,8342.0,8134.0
10502,6,7,0.03774810536380115,0.32177408894337045,0.008127845945577583,8342.0,284.0
10502,7,8,0.025517955836414627,0.07415257386003482,0.0,1522.0,8026.0
10502,8,7,0.002142421258175635,2.45960508871761,0.8069773290661946,8022.0,8327.0
10502,9,5,0.0472546134961499,0.6164432693819233,0.1757643888053959,8026.0,8022.0
10502,10,7,0.12140106818437842,0.4948407564983235,0.00047966510111052685,11094.0,8033.0
10502,11,8,0.05064536292371332,0.34599997428557927,0.09175149598071108,8022.0,8134.0
10502,12,8,0.0553025970627338,0.34599997428557927,0.34599997428557927,8134.0,8134.0
10502,13,6,0.08807227784358268,0.9817662084484304,0.0,11094.0,8026.0
10502,14,7,0.06991769570905751,1.6631473584221057,0.016517892308564264,8342.0,1522.0
10502,15,9,0.028947505718025242,1.1549148138651155,0.06645004222738038,8327.0,1522.0
10502,16,8,0.02530292639075894,0.3139561835093554,0.01392321082610426,1339.0,8343.0
10502,17,8,0.02530292639075894,0.3139561835093554,0.01392321082610426,1339.0,8343.0
10502,18,5,0.06253868646548734,1.0813228732969336,0.0,8327.0,1522.0
10502,19,6,9.99378473582536e-10,0.18738445579992824,0.0,1973.0,916.0
10502,20,4,0.05864369728166263,1.0425309177820825,0.0,8342.0,1522.0
10502,21,6,0.038897699419286835,1.510275188518703,0.0,8342.0,1522.0
10502,22,6,0.0004551004430558244,0.8345141800978073,0.00035840801527209365,13121.0,8343.0
10502,23,6,4.277456787904865e-12,0.0,0.0,8026.0,
